actor_id,has_target,country_id
BD-C,False,BD
BD-D,False,BD
BD-E,False,BD
BD-F,False,BD
BD-G,False,BD
BD-H,False,BD
BE,True,BE
BE-BRU,False,BE
BE-VLG,False,BE
BE-WAL,False,BE
BF,False,BF
BF-01,False,BF
BF-02,False,BF
BF-03,False,BF
BF-04,False,BF
BF-05,False,BF
BF-06,False,BF
BF-07,False,BF
BF-08,False,BF
BF-09,False,BF
BF-10,False,BF
BF-11,False,BF
BF-12,False,BF
BF-13,False,BF
BG,True,BG
BG-01,False,BG
BG-02,False,BG
BG-03,False,BG
BG-04,False,BG
BG-05,False,BG
BG-06,False,BG
BG-07,False,BG
BG-08,False,BG
BG-09,False,BG
BG-10,False,BG
BG-11,False,BG
BG-12,False,BG
BG-13,False,BG
BG-14,False,BG
BG-15,False,BG
BG-16,False,BG
BG-17,False,BG
BG-18,False,BG
BG-19,False,BG
BG-20,False,BG
BG-21,False,BG
BG-22,False,BG
BG-23,False,BG
BG-24,False,BG
BG-25,False,BG
BG-26,False,BG
BG-27,False,BG
BG-28,False,BG
BH-13,False,BH
BH-14,False,BH
BH-15,False,BH
BH-17,False,BH
BI-BB,False,BI
BI-BL,False,BI
BI-BM,False,BI
BI-BR,False,BI
BI-CA,False,BI
BI-CI,False,BI
BI-GI,False,BI
BI-KI,False,BI
BI-KR,False,BI
BI-KY,False,BI
BI-MA,False,BI
BI-MU,False,BI
BI-MW,False,BI
BI-MY,False,BI
BI-NG,False,BI
BI-RM,False,BI
BI-RT,False,BI
BI-RY,False,BI
BJ-AK,False,BJ
BJ-AL,False,BJ
BJ-AQ,False,BJ
BJ-BO,False,BJ
BJ-CO,False,BJ
BJ-DO,False,BJ
BJ-KO,False,BJ
BJ-LI,False,BJ
BJ-MO,False,BJ
BJ-OU,False,BJ
BJ-PL,False,BJ
BJ-ZO,False,BJ
BN,False,BN
BN-BE,False,BN
BN-BM,False,BN
BN-TE,False,BN
BN-TU,False,BN
BO,False,BO
BO-B,False,BO
BO-C,False,BO
BO-H,False,BO
BO-L,False,BO
BO-N,False,BO
BO-O,False,BO
BO-P,False,BO
BO-S,False,BO
BO-T,False,BO
BQ,False,BQ
BQ-BO,False,BQ
BQ-SA,False,BQ
BQ-SE,False,BQ
BR,True,BR
BR-AC,False,BR
